scenario_id,complexity,n_tasks,n_disruptions,total_duration_min,feasible,workday_minutes
SCN_0890,low,7,3,705,False,600
SCN_0373,high,20,1,1380,False,600
SCN_0708,low,6,3,430,True,600
SCN_0125,low,8,3,705,False,600
SCN_0894,low,5,3,470,True,600
SCN_0846,medium,9,2,615,False,600
SCN_0541,low,6,1,800,False,600
SCN_0314,low,7,3,780,False,600
SCN_0550,low,6,3,900,False,600
SCN_0077,medium,11,2,840,False,600
SCN_0438,high,16,1,1450,False,600
SCN_0207,high,20,3,1715,False,600
SCN_0848,low,7,3,710,False,600
SCN_0008,high,19,1,2165,False,600
SCN_0113,high,18,1,1440,False,600
SCN_0922,medium,12,2,1450,False,600
SCN_0569,high,18,3,1875,False,600
SCN_0275,low,8,1,770,False,600
SCN_0227,medium,10,1,1380,False,600
SCN_0573,low,8,3,1035,False,600
SCN_0773,medium,11,3,1145,False,600
SCN_0822,high,19,2,2245,False,600
SCN_0240,low,5,1,455,True,600
SCN_0079,low,7,3,570,True,600
SCN_0067,medium,13,3,1585,False,600
SCN_0286,medium,9,2,1080,False,600
SCN_0635,medium,14,1,940,False,600
SCN_0470,low,5,2,540,True,600
SCN_0679,high,15,2,1240,False,600
SCN_0325,low,5,1,765,False,600
SCN_0786,high,19,2,1290,False,600
SCN_0912,high,17,2,2210,False,600
SCN_0224,medium,10,1,935,False,600
SCN_0366,high,19,1,2030,False,600
SCN_0534,high,15,3,1250,False,600
SCN_0478,medium,9,3,715,False,600
SCN_0259,high,16,1,2180,False,600
SCN_0312,medium,11,1,790,False,600
SCN_0934,medium,14,2,1160,False,600
SCN_0782,high,18,1,1080,False,600
SCN_0604,high,16,1,1705,False,600
SCN_0800,high,18,3,2190,False,600
SCN_0413,medium,9,1,610,False,600
SCN_0630,medium,9,1,730,False,600
SCN_0276,high,16,3,1835,False,600
SCN_0070,medium,12,1,1370,False,600
SCN_0680,high,20,1,1725,False,600
SCN_0657,low,8,3,625,False,600
SCN_0041,low,6,3,440,True,600
SCN_0939,medium,14,2,1755,False,600
SCN_0974,low,6,1,520,True,600
SCN_0357,low,8,2,1040,False,600
SCN_0202,low,7,2,370,True,600
SCN_0157,low,6,2,440,True,600
SCN_0860,high,15,1,1285,False,600
SCN_0268,low,6,2,795,False,600
SCN_0065,high,15,1,1510,False,600
SCN_0219,medium,14,3,1505,False,600
SCN_0151,medium,10,3,990,False,600
SCN_0231,low,6,3,310,True,600
SCN_0907,medium,11,2,1395,False,600
SCN_0054,medium,10,3,1095,False,600
SCN_0322,high,16,2,1675,False,600
SCN_0208,high,20,1,2325,False,600
SCN_0436,high,15,3,1575,False,600
SCN_0115,medium,12,1,790,False,600
SCN_0385,low,7,3,740,False,600
SCN_0634,medium,11,3,790,False,600
SCN_0364,medium,11,1,1320,False,600
SCN_0426,medium,11,3,1210,False,600
SCN_0141,low,8,3,660,False,600
SCN_0712,low,7,1,875,False,600
SCN_0392,low,5,1,410,True,600
SCN_0133,low,6,3,665,False,600
SCN_0483,low,8,3,605,False,600
SCN_0395,medium,12,1,1340,False,600
SCN_0765,high,17,1,1805,False,600
SCN_0925,low,5,1,135,True,600
SCN_0327,low,7,3,650,False,600
SCN_0652,low,5,3,485,True,600
SCN_0305,low,7,1,340,True,600
SCN_0098,low,7,2,505,True,600
SCN_0102,medium,9,1,870,False,600
SCN_0977,low,8,2,765,False,600
SCN_0821,high,20,1,1480,False,600
SCN_0096,high,19,3,1700,False,600
SCN_0014,low,7,1,750,False,600
SCN_0184,low,6,3,275,True,600
SCN_0719,high,15,3,980,False,600
SCN_0393,high,19,2,1420,False,600
SCN_0332,high,20,1,2125,False,600
SCN_0560,medium,9,1,1035,False,600
SCN_0126,high,16,1,1230,False,600
SCN_0949,high,18,1,1520,False,600
SCN_0750,medium,11,3,1185,False,600
SCN_0245,high,18,3,1660,False,600
SCN_0735,high,18,3,1270,False,600
SCN_0806,high,20,2,1580,False,600
SCN_0605,low,7,3,615,False,600
SCN_0814,medium,14,3,1235,False,600
SCN_0039,low,5,2,285,True,600
SCN_0689,medium,11,3,1250,False,600
SCN_0671,medium,14,2,1745,False,600
SCN_0697,medium,12,3,1225,False,600
SCN_0449,low,8,3,785,False,600
SCN_0839,medium,11,2,1245,False,600
SCN_0069,low,7,2,845,False,600
SCN_0978,medium,11,3,1335,False,600
SCN_0783,medium,13,1,1610,False,600
SCN_0103,low,5,1,410,True,600
SCN_0283,low,5,2,500,True,600
SCN_0109,high,15,3,1450,False,600
SCN_0985,high,18,1,2270,False,600
SCN_0177,medium,13,3,1610,False,600
SCN_0321,low,8,1,770,False,600
SCN_0980,low,5,2,420,True,600
SCN_0138,high,17,2,1485,False,600
SCN_0345,low,7,2,620,False,600
SCN_0665,high,20,1,1915,False,600
SCN_0753,medium,12,3,1250,False,600
SCN_0933,medium,9,1,845,False,600
SCN_0549,medium,13,3,1110,False,600
SCN_0233,medium,10,2,650,False,600
SCN_0394,low,8,3,800,False,600
SCN_0954,medium,10,2,595,True,600
SCN_0791,medium,11,3,700,False,600
SCN_0031,high,20,1,1795,False,600
SCN_0257,medium,9,2,815,False,600
SCN_0906,low,8,2,620,False,600
SCN_0076,medium,12,3,955,False,600
SCN_0542,low,6,3,385,True,600
SCN_0435,low,6,1,740,False,600
SCN_0801,high,18,2,1410,False,600
SCN_0043,high,19,1,1120,False,600
SCN_0291,low,6,1,520,True,600
SCN_0877,high,17,3,1295,False,600
SCN_0048,medium,13,3,1340,False,600
SCN_0829,low,5,3,720,False,600
SCN_0950,low,5,3,510,True,600
SCN_0476,low,7,2,570,True,600
SCN_0647,low,8,1,860,False,600
SCN_0427,low,6,1,900,False,600
SCN_0489,medium,11,2,900,False,600
SCN_0833,high,20,1,1925,False,600
SCN_0698,low,6,3,555,True,600
SCN_0764,medium,11,2,1300,False,600
SCN_0187,low,6,3,455,True,600
SCN_0553,high,19,1,1415,False,600
SCN_0595,medium,9,3,1160,False,600
SCN_0568,high,19,2,1750,False,600
SCN_0490,low,6,2,660,False,600
SCN_0497,high,16,1,1290,False,600
SCN_0334,high,18,3,1900,False,600
SCN_0770,high,15,1,1295,False,600
SCN_0862,low,5,2,340,True,600
SCN_0904,medium,10,1,895,False,600
SCN_0902,low,7,2,355,True,600
SCN_0300,medium,14,3,1490,False,600
SCN_0511,low,8,3,595,True,600
SCN_0032,low,5,2,645,False,600
SCN_0162,medium,12,2,395,True,600
SCN_0181,medium,14,3,1325,False,600
SCN_0143,low,5,2,615,False,600
SCN_0988,high,20,1,1990,False,600
SCN_0602,low,7,1,750,False,600
SCN_0444,medium,13,2,1610,False,600
SCN_0557,medium,9,2,1380,False,600
SCN_0173,low,7,1,690,False,600
SCN_0117,medium,12,3,1230,False,600
SCN_0097,medium,10,3,960,False,600
SCN_0669,medium,9,2,1310,False,600
SCN_0429,medium,10,3,885,False,600
SCN_0580,low,8,2,1020,False,600
SCN_0899,low,8,3,545,True,600
SCN_0190,low,5,3,375,True,600
SCN_0755,low,8,3,735,False,600
SCN_0888,high,18,1,1310,False,600
SCN_0459,high,16,3,2045,False,600
SCN_0792,medium,11,3,1325,False,600
SCN_0375,low,8,3,620,False,600
SCN_0488,low,8,3,520,True,600
SCN_0001,medium,9,3,1050,False,600
SCN_0279,medium,14,3,1605,False,600
SCN_0734,low,6,2,245,True,600
SCN_0355,high,16,3,1180,False,600
SCN_0052,high,16,2,1940,False,600
SCN_0740,medium,11,2,935,False,600
SCN_0005,high,19,1,1490,False,600
SCN_0437,high,19,3,1195,False,600
SCN_0936,medium,12,3,1455,False,600
SCN_0430,medium,13,2,1120,False,600
SCN_0564,medium,13,1,1065,False,600
SCN_0831,low,8,1,730,False,600
SCN_0757,medium,9,3,1185,False,600
SCN_0018,low,8,1,885,False,600
SCN_0643,high,16,1,1385,False,600
SCN_0971,low,7,1,520,True,600
SCN_0035,high,19,3,1395,False,600
SCN_0717,high,16,1,1510,False,600
SCN_0494,low,8,2,980,False,600
SCN_0850,medium,9,3,885,False,600
SCN_0160,high,15,1,1430,False,600
SCN_0150,low,8,1,515,True,600
SCN_0841,low,6,1,765,False,600
SCN_0599,medium,12,3,625,False,600
SCN_0751,high,20,3,2325,False,600
SCN_0507,low,6,2,540,True,600
SCN_0787,high,18,2,1460,False,600
SCN_0416,medium,11,2,915,False,600
SCN_0371,low,7,1,465,True,600
SCN_0840,medium,9,3,665,False,600
SCN_0639,medium,14,1,1780,False,600
SCN_0529,low,8,2,540,True,600
SCN_0614,low,5,3,500,True,600
SCN_0336,medium,10,2,930,False,600
SCN_0608,high,18,3,1510,False,600
SCN_0823,high,15,3,1375,False,600
SCN_0182,medium,13,2,835,False,600
SCN_0612,low,5,2,410,True,600
SCN_0649,medium,11,3,1335,False,600
SCN_0617,medium,14,3,1375,False,600
SCN_0046,high,20,2,1515,False,600
SCN_0955,high,20,3,2495,False,600
SCN_0088,medium,11,3,1090,False,600
SCN_0885,high,20,1,2040,False,600
SCN_0120,high,20,3,1255,False,600
SCN_0352,medium,10,1,1460,False,600
SCN_0238,medium,11,3,1040,False,600
SCN_0302,high,18,1,865,False,600
SCN_0514,low,7,3,470,True,600
SCN_0551,high,17,1,2040,False,600
SCN_0684,medium,13,3,1665,False,600
SCN_0650,low,7,2,440,True,600
SCN_0852,medium,12,2,980,False,600
SCN_0704,low,8,2,765,False,600
SCN_0022,medium,13,1,1390,False,600
SCN_0887,high,16,2,1280,False,600
SCN_0285,high,19,3,2410,False,600
SCN_0810,medium,11,2,955,False,600
SCN_0997,low,6,2,675,False,600
SCN_0467,medium,13,3,965,False,600
SCN_0502,high,19,2,1540,False,600
SCN_0758,low,8,2,965,False,600
SCN_0335,low,8,1,850,False,600
SCN_0538,low,5,1,525,True,600
SCN_0969,medium,9,3,1190,False,600
SCN_0277,medium,11,1,1095,False,600
SCN_0006,medium,11,3,1220,False,600
SCN_0718,low,8,1,635,False,600
SCN_0871,medium,9,2,860,False,600
SCN_0941,high,15,2,1380,False,600
SCN_0417,low,5,1,215,True,600
SCN_0741,low,6,2,500,True,600
SCN_0531,high,17,2,1530,False,600
SCN_0798,low,5,3,435,True,600
SCN_0834,low,6,1,400,True,600
SCN_0359,low,7,1,735,False,600
SCN_0265,medium,13,2,1015,False,600
SCN_0178,low,7,2,570,True,600
SCN_0746,medium,10,3,780,False,600
SCN_0982,low,7,3,680,False,600
SCN_0648,medium,9,3,1020,False,600
SCN_0813,medium,9,2,630,False,600
SCN_0418,high,20,2,1775,False,600
SCN_0386,high,19,1,1665,False,600
SCN_0858,high,20,1,2025,False,600
SCN_0114,high,20,1,1845,False,600
SCN_0998,high,15,1,1390,False,600
SCN_0565,medium,11,1,1020,False,600
SCN_0530,medium,14,3,990,False,600
SCN_0495,medium,13,3,990,False,600
SCN_0600,medium,13,3,1575,False,600
SCN_0594,high,19,2,1735,False,600
SCN_0640,medium,14,3,1120,False,600
SCN_0780,medium,14,2,1320,False,600
SCN_0153,high,15,3,1550,False,600
SCN_0401,high,19,3,1965,False,600
SCN_0424,medium,13,2,965,False,600
SCN_0658,high,18,3,1760,False,600
SCN_0815,high,15,1,950,False,600
SCN_0315,medium,9,2,1220,False,600
SCN_0351,high,17,2,1895,False,600
SCN_0163,medium,10,3,545,True,600
SCN_0947,medium,11,2,1500,False,600
SCN_0744,medium,10,2,1335,False,600
SCN_0311,high,19,2,1780,False,600
SCN_0682,low,8,3,670,False,600
SCN_0271,low,7,2,425,True,600
SCN_0176,high,20,2,1745,False,600
SCN_0613,medium,9,1,855,False,600
SCN_0694,low,8,3,925,False,600
SCN_0842,low,6,3,360,True,600
SCN_0797,high,18,3,1640,False,600
SCN_0868,low,8,3,795,False,600
SCN_0205,low,6,2,315,True,600
SCN_0028,low,7,2,485,True,600
SCN_0972,medium,9,3,585,True,600
SCN_0547,low,5,1,425,True,600
SCN_0223,high,18,2,1985,False,600
SCN_0221,high,20,2,1585,False,600
SCN_0248,high,16,1,1385,False,600
